Variable,OLS_Coef,OLS_SE,Lag_ML_Coef,Lag_ML_SE,Lag_GMM_Coef,Lag_GMM_SE,Error_ML_Coef,Error_ML_SE,Error_GMM_Coef,Error_GMM_SE,OLS_tstat,OLS_sig,Lag_ML_tstat,Lag_ML_sig,Lag_GMM_tstat,Lag_GMM_sig,Error_ML_tstat,Error_ML_sig,Error_GMM_tstat,Error_GMM_sig
Constant,12.813119215361894,0.02282243315094142,6.632776600990933,0.11414766379418713,9.173571414617982,0.19460349476736125,12.867723869833867,0.039805665914580825,12.868831968304448,0.037294702374745616,561.4265197150269,***,58.10698511491307,***,47.139808180652295,***,323.26362527,***,345.05790766193843,***
AgeAtSale,-0.0005811940172222307,6.117315289188801e-05,-0.0007203566853740895,5.4647945790474835e-05,-0.0006631456523296109,5.605860247479188e-05,-0.0015163343494214998,6.468313945608897e-05,-0.0014631196835681592,6.449863750883731e-05,-9.500802063437556,***,-13.181770603711294,***,-11.829507391444702,***,-23.442497723087236,***,-22.68450528691694,***
LandArea,2.1044085513607924e-05,1.2981725594130808e-06,1.8726396185443698e-05,1.152888086677253e-06,1.9679219255518132e-05,1.1882546054627088e-06,2.279322967370747e-05,1.290227348550327e-06,2.2716009297354e-05,1.288450786165597e-06,16.210545632794922,***,16.24303035294187,***,16.561450016728532,***,17.666056838213418,***,17.63048270159885,***
TotalFloorArea,0.0029779441806265794,3.4581934857179875e-05,0.0023472720130985718,3.334257842096764e-05,0.0026065470520761774,3.725659216947791e-05,0.0025632614972289913,3.396553991855753e-05,0.0025857321233291874,3.400664155857095e-05,86.11271153349885,***,70.39863514641924,***,69.9620362543938,***,75.466531766466,***,76.03609191680047,***
log_water_DIST,-0.0011716008616033946,0.0018667380905117562,-0.0002642026830133379,0.0016548389980729802,-0.0006372422902936048,0.0017057270019810542,-0.0041840772450841834,0.002824881653527952,-0.004243114805411452,0.0027255962569381685,-0.6276193042604099,,-0.15965461493293032,,-0.3735898473516003,,-1.481151339511428,,-1.5567657148817802,
log_bus_DIST,0.013780701840545362,0.002379961450917268,0.006113654803588535,0.002112685989067773,0.009265647268961175,0.0021875898245788906,0.016057946914955323,0.0033492704655600273,0.015614755999465046,0.003255927345071938,5.790304643478197,***,2.893783001934044,***,4.235550542819335,***,4.79446108639969,***,4.79579374616544,***
log_CBD_DIST,-0.044236216954359975,0.0011969482758134567,-0.027538824780773175,0.0011055688535611047,-0.0344032739029938,0.0012120706478053209,-0.04343719487390807,0.002629111312675495,-0.0431665085510069,0.0023883895930739405,-36.957500878053104,***,-24.909190135077466,***,-28.38388501964578,***,-16.521626400711252,***,-18.07347874743086,***
log_cycleways_DIST,-0.02660389414529618,0.0018936223080150696,-0.015580756318396711,0.001688866099643373,-0.020112468096712632,0.0017641344735962942,-0.018342621755707,0.0037199869893181905,-0.019872278092577744,0.0034595514137205443,-14.049208246380918,***,-9.225572306582979,***,-11.400756800422451,***,-4.93082954547346,***,-5.74417770285607,***
Median_Income,2.3742386097598545e-06,1.5170593712176004e-07,7.491840336601436e-07,1.3688944151468076e-07,1.417258685256894e-06,1.476435623557468e-07,2.314992015313433e-06,2.767646163583642e-07,2.338154850984632e-06,2.60255771453912e-07,15.65026824134297,***,5.472913216464522,***,9.599190527806508,***,8.36447970038158,***,8.984065321289867,***
IMD_composite,-0.05935634673569723,0.002740622949890639,-0.015335858454932932,0.002542886322069301,-0.03343307980493648,0.0028580877648288474,-0.054221847153892,0.004285593215242738,-0.055408709682275514,0.004111114539397059,-21.65797624152048,***,-6.030886367918017,***,-11.697709292331188,***,-12.652121755522437,***,-13.477783007817102,***
canopy_0_25,-0.0010496138348159434,0.000871996910435307,-0.0005181363465227731,0.0007727653935894619,-0.0007366315545733748,0.0007968480997421288,-0.000985414143644392,0.0007440655828967325,-0.0009896418271336804,0.000749924682691583,-1.2036898551532353,,-0.6704963121032791,,-0.9244315884191217,,-1.3243646343754563,,-1.319654959991075,
canopy_25_50,-0.0006639548087559177,0.0011544472665189944,-0.000994645091376113,0.0010230742044437559,-0.0008586953217744053,0.0010547776509893662,-0.0005275831620148441,0.0009654392897777472,-0.0005171609789742515,0.0009739976461844283,-0.5751278798190073,,-0.9722120712806949,,-0.8141007926826678,,-0.5464695373401455,,-0.5309673806709858,
canopy_50_75,0.0022737805338231,0.0011218213030984253,0.0008438505885727616,0.0009941064780809683,0.001431707737486576,0.001025896247779438,0.0005193150252639223,0.0009367537274903808,0.0005920427212908752,0.0009451426195341282,2.026865176782621,**,0.848853324245244,,1.3955677687539272,,0.5543773246093168,,0.6264056969335485,
canopy_75_100,0.0007362338265455293,0.0010276389918454907,0.0016232560025723508,0.0009106821498046933,0.0012585931537998363,0.0009392827687623433,0.001393278493483141,0.0008568633285030847,0.0013678897577387161,0.0008645677334742785,0.7164323584329552,,1.7824616447357373,*,1.339951285871278,,1.6260218486852016,,1.5821660984753971,
canopy_100_150,0.0007829409322521741,0.0011832682375959467,0.0009585823460546569,0.001048545412936024,0.0008863745703333592,0.0010810722618915217,0.00018098538878197346,0.0010126412064783825,0.00021885656524434083,0.0010203778830198856,0.6616766235886462,,0.9142020309549949,,0.8199031661236915,,0.17872607555777661,,0.21448579872842624,
canopy_150_200,-0.00015482425345325623,0.0011015416789180396,1.3771865535202823e-05,0.0009761076423031458,-5.553952565939824e-05,0.0010064050481056323,0.0006442500442027654,0.0009581030061937352,0.0005890978607230313,0.0009646195690943682,-0.14055233353070062,,0.014108961899640317,,-0.055186056313947275,,0.6724225266364455,,0.6107048618929689,
canopy_200_400,-0.0003445450630938929,0.00022791517476089217,-0.0006235260102698223,0.00020204600321219515,-0.0005088344166295222,0.00020841109060734095,-0.00048187972624441633,0.00022355982210093073,-0.00045863862453832116,0.00022348751495448774,-1.5117249803807848,,-3.0860596119536967,***,-2.441493949034588,**,-2.1554844771117314,**,-2.052189021081204,**
year_2018,-0.0005091065659286187,0.004275100816930321,0.0004376490910293902,0.003788365913665718,4.842926729509145e-05,0.003905932777827031,0.00029045011725337133,0.0036016315756465128,0.0001929779945326615,0.0036324717897488015,-0.11908644678330087,,0.11552450344109183,,0.012398899328224966,,0.08064403900091695,,0.0531258068066116,
year_2019,0.020347856093174244,0.004291724615051899,0.018897498332528486,0.0038030472899541986,0.019493753541320658,0.0039212710524334496,0.018880005122908106,0.0036201210372157912,0.018912772965899105,0.0036511129518569728,4.741184003701081,***,4.969041111438842,***,4.97128438219625,***,5.21529665135964,***,5.18000215695326,***
DECILE_prim,0.010510512695201868,0.0008227341207610335,0.004529998393120534,0.0007369268063904875,0.006988641978089127,0.0007746335652823751,0.011337619069828442,0.0014642471545549052,0.011384844656578963,0.001382530736166674,12.77510246624947,***,6.147148337985889,***,9.021868263017465,***,7.7429681420653305,***,8.234785931881401,***
DECILE_high,0.016336029980674738,0.0008578100907488177,0.008028135916377492,0.0007745283149878696,0.011443586396529426,0.000825743459995754,0.016211669783048777,0.0017367083639903426,0.016407569276672973,0.0016062978848674682,19.04387714349961,***,10.365193577852898,***,13.858525015249008,***,9.334710489791206,***,10.214524610437822,***
Rho (ρ),,,0.481359290032149,0.008695500658956148,0.2834681270561532,0.015069543598011997,,,,,,,55.35728291117556,***,18.810664384921974,***,,,,
Lambda (λ),,,,,,,0.6367737170795935,0.009667432291406626,0.5936270338304902,0.0016062978848674682,,,,,,,65.86792623783062,***,369.5622333957496,***
